country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,fetched_at
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",30-11-2025 02:00:00,16.536107,80.594233,NO2,22.0,22.0,22.0,2025-11-29 21:23:24.610846
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",30-11-2025 02:00:00,16.536107,80.594233,SO2,23.0,23.0,23.0,2025-11-29 21:23:24.610846
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",30-11-2025 02:00:00,16.509717,80.612222,PM10,39.0,59.0,46.0,2025-11-29 21:23:24.610846
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",30-11-2025 02:00:00,16.509717,80.612222,NO2,43.0,90.0,60.0,2025-11-29 21:23:24.610846
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",30-11-2025 02:00:00,16.509717,80.612222,SO2,11.0,19.0,14.0,2025-11-29 21:23:24.610846
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",30-11-2025 02:00:00,16.509717,80.612222,OZONE,3.0,27.0,15.0,2025-11-29 21:23:24.610846
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",30-11-2025 02:00:00,27.103358,93.679645,PM2.5,23.0,314.0,130.0,2025-11-29 21:23:24.610846
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",30-11-2025 02:00:00,26.1875,91.744194,SO2,28.0,53.0,39.0,2025-11-29 21:23:24.610846
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",30-11-2025 02:00:00,26.181742,91.78063,CO,31.0,96.0,74.0,2025-11-29 21:23:24.610846
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",30-11-2025 02:00:00,26.349082,92.68449,NO2,1.0,1.0,1.0,2025-11-29 21:23:24.610846
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",30-11-2025 02:00:00,26.446912,91.439057,PM10,37.0,197.0,102.0,2025-11-29 21:23:24.610846
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",30-11-2025 02:00:00,11.654054,92.734055,SO2,,,,2025-11-29 21:23:24.610846
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",30-11-2025 02:00:00,16.5150833,80.5181667,OZONE,6.0,49.0,26.0,2025-11-29 21:23:24.610846
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",30-11-2025 02:00:00,13.20488,79.097889,NH3,5.0,6.0,6.0,2025-11-29 21:23:24.610846
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",30-11-2025 02:00:00,14.465052,78.824187,PM10,,,,2025-11-29 21:23:24.610846
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",30-11-2025 02:00:00,14.465052,78.824187,NH3,,,,2025-11-29 21:23:24.610846
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",30-11-2025 02:00:00,25.5626095,84.663264,PM2.5,40.0,177.0,106.0,2025-11-29 21:23:24.610846
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",30-11-2025 02:00:00,25.5626095,84.663264,NH3,1.0,1.0,1.0,2025-11-29 21:23:24.610846
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",30-11-2025 02:00:00,27.103358,93.679645,CO,8.0,66.0,39.0,2025-11-29 21:23:24.610846
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",30-11-2025 02:00:00,27.103358,93.679645,OZONE,5.0,5.0,5.0,2025-11-29 21:23:24.610846
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",30-11-2025 02:00:00,26.987634,94.636574,NO2,20.0,41.0,27.0,2025-11-29 21:23:24.610846
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",30-11-2025 02:00:00,24.75746,84.366208,PM2.5,,,,2025-11-29 21:23:24.610846
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",30-11-2025 02:00:00,26.146529,87.454184,NO2,1.0,31.0,9.0,2025-11-29 21:23:24.610846
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",30-11-2025 02:00:00,25.5626095,84.663264,SO2,9.0,10.0,10.0,2025-11-29 21:23:24.610846
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",30-11-2025 02:00:00,25.560083,87.553265,OZONE,4.0,10.0,6.0,2025-11-29 21:23:24.610846
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",30-11-2025 02:00:00,26.0881305,87.93840336,NH3,2.0,3.0,3.0,2025-11-29 21:23:24.610846
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",30-11-2025 02:00:00,27.308328,84.531742,NO2,4.0,10.0,6.0,2025-11-29 21:23:24.610846
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",30-11-2025 02:00:00,27.308328,84.531742,SO2,16.0,17.0,17.0,2025-11-29 21:23:24.610846
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",30-11-2025 02:00:00,27.308328,84.531742,CO,32.0,34.0,33.0,2025-11-29 21:23:24.610846
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",30-11-2025 02:00:00,26.63086,84.90051,NO2,10.0,14.0,12.0,2025-11-29 21:23:24.610846
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",30-11-2025 02:00:00,25.56752,83.966379,SO2,1.0,16.0,9.0,2025-11-29 21:23:24.610846
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",30-11-2025 02:00:00,25.56752,83.966379,CO,20.0,28.0,26.0,2025-11-29 21:23:24.610846
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",30-11-2025 02:00:00,25.7808257,84.7446768,PM2.5,25.0,58.0,43.0,2025-11-29 21:23:24.610846
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",30-11-2025 02:00:00,26.80365,84.51954,SO2,,,,2025-11-29 21:23:24.610846
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",30-11-2025 02:00:00,25.251013,86.989001,PM10,93.0,135.0,116.0,2025-11-29 21:23:24.610846
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",30-11-2025 02:00:00,24.762518,84.982348,SO2,8.0,9.0,8.0,2025-11-29 21:23:24.610846
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",30-11-2025 02:00:00,25.697189,85.2459,PM10,64.0,107.0,89.0,2025-11-29 21:23:24.610846
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",30-11-2025 02:00:00,25.265194,87.012947,PM10,62.0,119.0,91.0,2025-11-29 21:23:24.610846
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",30-11-2025 02:00:00,25.265194,87.012947,NH3,3.0,19.0,11.0,2025-11-29 21:23:24.610846
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",30-11-2025 02:00:00,25.265194,87.012947,CO,24.0,110.0,61.0,2025-11-29 21:23:24.610846
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",30-11-2025 02:00:00,25.251013,86.989001,SO2,38.0,58.0,48.0,2025-11-29 21:23:24.610846
