country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,fetched_at
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",30-11-2025 15:00:00,13.20488,79.097889,NO2,21.0,25.0,23.0,2025-11-30 10:27:02.408218
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",30-11-2025 15:00:00,13.20488,79.097889,NH3,5.0,6.0,5.0,2025-11-30 10:27:02.408218
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",30-11-2025 15:00:00,14.465052,78.824187,PM2.5,65.0,313.0,199.0,2025-11-30 10:27:02.408218
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",30-11-2025 15:00:00,14.465052,78.824187,SO2,12.0,12.0,12.0,2025-11-30 10:27:02.408218
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",30-11-2025 15:00:00,13.67,79.35,SO2,5.0,7.0,6.0,2025-11-30 10:27:02.408218
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",30-11-2025 15:00:00,13.615387,79.40923,PM2.5,,,,2025-11-30 10:27:02.408218
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",30-11-2025 15:00:00,13.615387,79.40923,NO2,,,,2025-11-30 10:27:02.408218
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",30-11-2025 15:00:00,13.615387,79.40923,NH3,,,,2025-11-30 10:27:02.408218
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",30-11-2025 15:00:00,16.536107,80.594233,OZONE,26.0,49.0,30.0,2025-11-30 10:27:02.408218
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",30-11-2025 15:00:00,16.509717,80.612222,PM2.5,39.0,48.0,44.0,2025-11-30 10:27:02.408218
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",30-11-2025 15:00:00,16.509717,80.612222,NO2,44.0,74.0,53.0,2025-11-30 10:27:02.408218
India,Assam,Guwahati,"IITG, Guwahati - PCBA",30-11-2025 15:00:00,26.2028636,91.70046436,PM10,56.0,155.0,109.0,2025-11-30 10:27:02.408218
India,Assam,Guwahati,"IITG, Guwahati - PCBA",30-11-2025 15:00:00,26.2028636,91.70046436,CO,8.0,22.0,13.0,2025-11-30 10:27:02.408218
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",30-11-2025 15:00:00,16.509717,80.612222,OZONE,1.0,27.0,4.0,2025-11-30 10:27:02.408218
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",30-11-2025 15:00:00,17.72,83.3,PM10,48.0,85.0,62.0,2025-11-30 10:27:02.408218
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",30-11-2025 15:00:00,17.72,83.3,CO,20.0,34.0,27.0,2025-11-30 10:27:02.408218
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",30-11-2025 15:00:00,16.5150833,80.5181667,NO2,17.0,59.0,24.0,2025-11-30 10:27:02.408218
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",30-11-2025 15:00:00,27.103358,93.679645,OZONE,5.0,5.0,5.0,2025-11-30 10:27:02.408218
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",30-11-2025 15:00:00,27.103358,93.679645,SO2,8.0,9.0,9.0,2025-11-30 10:27:02.408218
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",30-11-2025 15:00:00,25.251013,86.989001,SO2,40.0,58.0,50.0,2025-11-30 10:27:02.408218
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",30-11-2025 15:00:00,25.204762,85.51496,NO2,9.0,10.0,9.0,2025-11-30 10:27:02.408218
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",30-11-2025 15:00:00,25.204762,85.51496,SO2,10.0,10.0,10.0,2025-11-30 10:27:02.408218
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",30-11-2025 15:00:00,25.56752,83.966379,PM10,64.0,121.0,102.0,2025-11-30 10:27:02.408218
