country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,fetched_at
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",29-11-2025 17:00:00,11.654054,92.734055,CO,16.0,46.0,20.0,2025-11-29 12:51:54.506341
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",29-11-2025 17:00:00,16.5150833,80.5181667,NH3,2.0,5.0,4.0,2025-11-29 12:51:54.506341
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",29-11-2025 17:00:00,14.675886,77.593027,PM10,25.0,87.0,69.0,2025-11-29 12:51:54.506341
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",29-11-2025 17:00:00,13.20488,79.097889,PM2.5,86.0,201.0,150.0,2025-11-29 12:51:54.506341
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",29-11-2025 17:00:00,13.20488,79.097889,PM10,84.0,133.0,114.0,2025-11-29 12:51:54.506341
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",29-11-2025 17:00:00,14.465052,78.824187,SO2,,,,2025-11-29 12:51:54.506341
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",29-11-2025 17:00:00,14.465052,78.824187,OZONE,21.0,23.0,22.0,2025-11-29 12:51:54.506341
India,Bihar,Munger,"Town Hall, Munger - BSPCB",29-11-2025 17:00:00,25.376776,86.471523,PM10,55.0,175.0,107.0,2025-11-29 12:51:54.506341
India,Bihar,Munger,"Town Hall, Munger - BSPCB",29-11-2025 17:00:00,25.376776,86.471523,SO2,,,,2025-11-29 12:51:54.506341
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",29-11-2025 17:00:00,26.11442,85.39813,PM10,40.0,111.0,89.0,2025-11-29 12:51:54.506341
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",29-11-2025 17:00:00,26.11442,85.39813,NH3,6.0,10.0,8.0,2025-11-29 12:51:54.506341
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",29-11-2025 17:00:00,26.11442,85.39813,CO,32.0,80.0,51.0,2025-11-29 12:51:54.506341
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",29-11-2025 17:00:00,26.1209,85.3647,PM2.5,77.0,97.0,84.0,2025-11-29 12:51:54.506341
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",29-11-2025 17:00:00,25.586562,85.043586,NH3,5.0,13.0,7.0,2025-11-29 12:51:54.506341
India,Assam,Guwahati,"IITG, Guwahati - PCBA",29-11-2025 17:00:00,26.2028636,91.70046436,OZONE,1.0,36.0,26.0,2025-11-29 12:51:54.506341
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",29-11-2025 17:00:00,26.10887,91.589544,OZONE,10.0,14.0,12.0,2025-11-29 12:51:54.506341
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",29-11-2025 17:00:00,26.1875,91.744194,SO2,28.0,53.0,39.0,2025-11-29 12:51:54.506341
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",29-11-2025 17:00:00,26.1875,91.744194,OZONE,17.0,18.0,17.0,2025-11-29 12:51:54.506341
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",29-11-2025 17:00:00,26.181742,91.78063,PM10,39.0,186.0,99.0,2025-11-29 12:51:54.506341
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",29-11-2025 17:00:00,26.349082,92.68449,PM10,57.0,58.0,57.0,2025-11-29 12:51:54.506341
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",29-11-2025 17:00:00,26.349082,92.68449,NO2,1.0,1.0,1.0,2025-11-29 12:51:54.506341
India,Assam,Silchar,"Tarapur, Silchar - PCBA",29-11-2025 17:00:00,24.82827,92.79525,PM10,42.0,64.0,54.0,2025-11-29 12:51:54.506341
India,Assam,Silchar,"Tarapur, Silchar - PCBA",29-11-2025 17:00:00,24.82827,92.79525,OZONE,1.0,9.0,5.0,2025-11-29 12:51:54.506341
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",29-11-2025 17:00:00,26.987634,94.636574,PM2.5,26.0,64.0,37.0,2025-11-29 12:51:54.506341
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",29-11-2025 17:00:00,26.146529,87.454184,NO2,1.0,31.0,11.0,2025-11-29 12:51:54.506341
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",29-11-2025 17:00:00,25.5626095,84.663264,PM2.5,,,,2025-11-29 12:51:54.506341
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",29-11-2025 17:00:00,25.5626095,84.663264,PM10,,,,2025-11-29 12:51:54.506341
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",29-11-2025 17:00:00,16.554731,80.64911,NO2,8.0,9.0,9.0,2025-11-29 12:51:54.506341
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",29-11-2025 17:00:00,17.72,83.3,CO,2.0,27.0,19.0,2025-11-29 12:51:54.506341
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",29-11-2025 17:00:00,27.103358,93.679645,SO2,8.0,9.0,9.0,2025-11-29 12:51:54.506341
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",29-11-2025 17:00:00,26.071318,91.87488,NO2,5.0,9.0,7.0,2025-11-29 12:51:54.506341
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",29-11-2025 17:00:00,26.071318,91.87488,SO2,5.0,7.0,6.0,2025-11-29 12:51:54.506341
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",29-11-2025 17:00:00,24.792403,84.992416,PM2.5,60.0,227.0,116.0,2025-11-29 12:51:54.506341
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",29-11-2025 17:00:00,24.792403,84.992416,SO2,14.0,16.0,15.0,2025-11-29 12:51:54.506341
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",29-11-2025 17:00:00,24.762518,84.982348,OZONE,10.0,54.0,38.0,2025-11-29 12:51:54.506341
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",29-11-2025 17:00:00,25.697189,85.2459,PM2.5,76.0,174.0,134.0,2025-11-29 12:51:54.506341
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",29-11-2025 17:00:00,25.697189,85.2459,NH3,5.0,10.0,8.0,2025-11-29 12:51:54.506341
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",29-11-2025 17:00:00,25.560083,87.553265,PM2.5,45.0,107.0,76.0,2025-11-29 12:51:54.506341
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",29-11-2025 17:00:00,25.560083,87.553265,NH3,1.0,1.0,1.0,2025-11-29 12:51:54.506341
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",29-11-2025 17:00:00,26.0881305,87.93840336,OZONE,16.0,19.0,17.0,2025-11-29 12:51:54.506341
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",29-11-2025 17:00:00,27.308328,84.531742,NH3,1.0,2.0,1.0,2025-11-29 12:51:54.506341
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",29-11-2025 17:00:00,26.63086,84.90051,SO2,2.0,3.0,3.0,2025-11-29 12:51:54.506341
