country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,fetched_at
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",30-11-2025 00:00:00,16.5150833,80.5181667,SO2,2.0,11.0,6.0,2025-11-29 19:20:43.235964
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",30-11-2025 00:00:00,16.5150833,80.5181667,CO,16.0,32.0,22.0,2025-11-29 19:20:43.235964
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",30-11-2025 00:00:00,16.9872867,81.7363176,PM10,56.0,108.0,79.0,2025-11-29 19:20:43.235964
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",30-11-2025 00:00:00,11.654054,92.734055,NO2,,,,2025-11-29 19:20:43.235964
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",30-11-2025 00:00:00,13.615387,79.40923,OZONE,16.0,17.0,16.0,2025-11-29 19:20:43.235964
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",30-11-2025 00:00:00,14.675886,77.593027,OZONE,25.0,69.0,49.0,2025-11-29 19:20:43.235964
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",30-11-2025 00:00:00,13.615387,79.40923,PM2.5,,,,2025-11-29 19:20:43.235964
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",30-11-2025 00:00:00,14.675886,77.593027,SO2,12.0,17.0,13.0,2025-11-29 19:20:43.235964
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",30-11-2025 00:00:00,14.465052,78.824187,NO2,,,,2025-11-29 19:20:43.235964
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",30-11-2025 00:00:00,14.465052,78.824187,SO2,,,,2025-11-29 19:20:43.235964
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",30-11-2025 00:00:00,14.675886,77.593027,NH3,4.0,5.0,5.0,2025-11-29 19:20:43.235964
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",30-11-2025 00:00:00,26.071318,91.87488,SO2,5.0,7.0,6.0,2025-11-29 19:20:43.235964
India,Assam,Guwahati,"IITG, Guwahati - PCBA",30-11-2025 00:00:00,26.2028636,91.70046436,NH3,5.0,5.0,5.0,2025-11-29 19:20:43.235964
India,Assam,Guwahati,"IITG, Guwahati - PCBA",30-11-2025 00:00:00,26.2028636,91.70046436,OZONE,1.0,36.0,11.0,2025-11-29 19:20:43.235964
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",30-11-2025 00:00:00,16.509717,80.612222,CO,36.0,37.0,37.0,2025-11-29 19:20:43.235964
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",30-11-2025 00:00:00,16.509717,80.612222,OZONE,3.0,27.0,16.0,2025-11-29 19:20:43.235964
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",30-11-2025 00:00:00,16.554731,80.64911,PM10,43.0,60.0,46.0,2025-11-29 19:20:43.235964
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",30-11-2025 00:00:00,26.987634,94.636574,NH3,4.0,12.0,7.0,2025-11-29 19:20:43.235964
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",30-11-2025 00:00:00,26.146529,87.454184,PM2.5,53.0,287.0,137.0,2025-11-29 19:20:43.235964
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",30-11-2025 00:00:00,26.071318,91.87488,PM2.5,81.0,124.0,96.0,2025-11-29 19:20:43.235964
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",30-11-2025 00:00:00,26.071318,91.87488,NO2,5.0,8.0,7.0,2025-11-29 19:20:43.235964
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",30-11-2025 00:00:00,26.071318,91.87488,NH3,4.0,4.0,4.0,2025-11-29 19:20:43.235964
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",30-11-2025 00:00:00,26.1875,91.744194,SO2,28.0,53.0,39.0,2025-11-29 19:20:43.235964
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",30-11-2025 00:00:00,26.1875,91.744194,CO,12.0,86.0,51.0,2025-11-29 19:20:43.235964
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",30-11-2025 00:00:00,17.72,83.3,NO2,12.0,48.0,26.0,2025-11-29 19:20:43.235964
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",30-11-2025 00:00:00,16.536107,80.594233,OZONE,26.0,50.0,43.0,2025-11-29 19:20:43.235964
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",30-11-2025 00:00:00,16.536107,80.594233,NH3,4.0,4.0,4.0,2025-11-29 19:20:43.235964
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",30-11-2025 00:00:00,26.446912,91.439057,NO2,14.0,15.0,14.0,2025-11-29 19:20:43.235964
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",30-11-2025 00:00:00,25.56752,83.966379,SO2,1.0,16.0,8.0,2025-11-29 19:20:43.235964
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",30-11-2025 00:00:00,25.7808257,84.7446768,PM10,31.0,73.0,54.0,2025-11-29 19:20:43.235964
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",30-11-2025 00:00:00,25.7808257,84.7446768,SO2,20.0,22.0,20.0,2025-11-29 19:20:43.235964
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",30-11-2025 00:00:00,25.251013,86.989001,PM10,93.0,135.0,115.0,2025-11-29 19:20:43.235964
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",30-11-2025 00:00:00,25.204762,85.51496,PM10,21.0,63.0,47.0,2025-11-29 19:20:43.235964
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",30-11-2025 00:00:00,25.42742023,86.13886079,PM10,53.0,177.0,71.0,2025-11-29 19:20:43.235964
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",30-11-2025 00:00:00,26.80365,84.51954,PM2.5,35.0,230.0,103.0,2025-11-29 19:20:43.235964
