country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,fetched_at
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",29-11-2025 16:00:00,13.67,79.35,OZONE,3.0,80.0,23.0,2025-11-29 11:20:52.500124
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",29-11-2025 16:00:00,13.615387,79.40923,NO2,,,,2025-11-29 11:20:52.500124
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",29-11-2025 16:00:00,13.615387,79.40923,CO,19.0,32.0,24.0,2025-11-29 11:20:52.500124
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",29-11-2025 16:00:00,16.536107,80.594233,NO2,22.0,22.0,22.0,2025-11-29 11:20:52.500124
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",29-11-2025 16:00:00,16.536107,80.594233,CO,40.0,41.0,40.0,2025-11-29 11:20:52.500124
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",29-11-2025 16:00:00,16.509717,80.612222,PM10,43.0,64.0,51.0,2025-11-29 11:20:52.500124
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",29-11-2025 16:00:00,16.9872867,81.7363176,SO2,5.0,15.0,9.0,2025-11-29 11:20:52.500124
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",29-11-2025 16:00:00,16.9872867,81.7363176,OZONE,12.0,27.0,18.0,2025-11-29 11:20:52.500124
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",29-11-2025 16:00:00,13.67,79.35,PM2.5,37.0,240.0,139.0,2025-11-29 11:20:52.500124
India,Assam,Guwahati,"IITG, Guwahati - PCBA",29-11-2025 16:00:00,26.2028636,91.70046436,PM10,56.0,220.0,102.0,2025-11-29 11:20:52.500124
India,Assam,Guwahati,"IITG, Guwahati - PCBA",29-11-2025 16:00:00,26.2028636,91.70046436,NH3,5.0,5.0,5.0,2025-11-29 11:20:52.500124
India,Assam,Guwahati,"IITG, Guwahati - PCBA",29-11-2025 16:00:00,26.2028636,91.70046436,CO,8.0,28.0,11.0,2025-11-29 11:20:52.500124
India,Assam,Guwahati,"IITG, Guwahati - PCBA",29-11-2025 16:00:00,26.2028636,91.70046436,OZONE,1.0,36.0,24.0,2025-11-29 11:20:52.500124
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",29-11-2025 16:00:00,13.20488,79.097889,PM2.5,85.0,201.0,150.0,2025-11-29 11:20:52.500124
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",29-11-2025 16:00:00,14.465052,78.824187,NH3,,,,2025-11-29 11:20:52.500124
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",29-11-2025 16:00:00,27.103358,93.679645,NO2,6.0,6.0,6.0,2025-11-29 11:20:52.500124
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",29-11-2025 16:00:00,26.071318,91.87488,NH3,4.0,4.0,4.0,2025-11-29 11:20:52.500124
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",29-11-2025 16:00:00,14.675886,77.593027,NH3,4.0,5.0,5.0,2025-11-29 11:20:52.500124
